#lat,long
48.78062,8.928341
48.78062,8.928091
48.7806,8.927842
48.78062,8.927333
48.78063,8.927078
48.78063,8.926823
48.78063,8.926577
48.78063,8.92633
48.78062,8.926084
48.78063,8.92583
48.78063,8.92557
48.78063,8.925309
48.78062,8.925049
48.78061,8.924785
48.7805,8.924523
48.78056,8.924267
48.78052,8.924015
48.78048,8.923765
48.78044,8.923521
48.7804,8.923276
48.78034,8.923028
48.78029,8.922788
48.78017,8.922554
48.78014,8.921861
48.78012,8.921631
48.7801,8.921413
48.7801,8.921223
48.78011,8.921066
48.78012,8.920931
48.78013,8.920807
48.78012,8.920688
48.78008,8.920574
48.78,8.920466
48.78,8.920346
48.77998,8.920208
48.77996,8.920045
48.77995,8.91987
48.77993,8.919694
48.779,8.919286
48.77987,8.919054
48.77985,8.918807
48.77982,8.918543
48.7797,8.918273
48.77974,8.917718
48.77971,8.917439
48.77967,8.917165
48.7796,8.916892
48.77957,8.916341
48.77954,8.916066
48.77951,8.915793
48.7794,8.915518
48.77944,8.915243
48.77941,8.914966
48.77938,8.914689
48.77934,8.914413
48.77931,8.914139
48.7792,8.913864
48.77924,8.913588
48.77922,8.913311
48.7792,8.91303
48.77917,8.91275
48.77914,8.912471
48.77911,8.912194
48.77908,8.911921
48.77905,8.911653
48.77902,8.911394
48.77897,8.910895
48.77896,8.910653
48.77897,8.910409
48.77899,8.910164
48.77903,8.909918
48.77908,8.909677
48.7791,8.909438
48.77924,8.909207
48.77943,8.908995
48.77951,8.90861
48.7796,8.908443
48.77966,8.908319
48.77972,8.908219
48.77984,8.908143
48.7799,8.908057
48.77997,8.908038
48.78003,8.908025
48.78014,8.908002
48.78018,8.907878
48.78024,8.907771
48.78032,8.907662
48.7804,8.907574
48.78051,8.907497
48.78062,8.907435
48.78073,8.907384
48.78085,8.90734
48.78099,8.907304
48.78113,8.907286
48.78128,8.907289
48.78143,8.907308
48.78158,8.907337
48.78173,8.907386
48.78187,8.907448
48.782,8.907534
48.78216,8.907625
48.78229,8.907735
48.78243,8.907867
48.78256,8.908013
48.7827,8.908163
48.78284,8.908314
48.78298,8.908467
48.78312,8.90862
48.78326,8.908766
48.78341,8.908905
48.78357,8.909027
48.78372,8.909131
48.78388,8.909222
48.78404,8.909303
48.78421,8.909366
48.78437,8.909414
48.7845,8.909464
48.78485,8.909525
48.78514,8.909704
48.78529,8.909985
48.78544,8.910131
48.7856,8.910266
48.78576,8.910378
48.78592,8.910474
48.786,8.91055
48.78625,8.91063
48.7864,8.91072
48.78656,8.910821
48.78672,8.910927
48.78688,8.911035
48.787,8.911147
48.78719,8.911257
48.78735,8.911369
48.7875,8.911473
48.78766,8.911578
48.78781,8.911682
48.78796,8.911786
48.7881,8.911885
48.78823,8.911988
48.78836,8.912085
48.78847,8.912171
48.78857,8.912254
48.78866,8.912318
48.78873,8.91238
48.78877,8.912455
48.7888,8.912556
48.78881,8.912669
48.78879,8.912795
48.78876,8.912929
48.78871,8.913069
48.78865,8.913207
48.78858,8.913345
48.78851,8.913487
48.78844,8.913627
48.7883,8.913771
48.78823,8.914055
48.78815,8.91419
48.78808,8.914319
48.78803,8.914434
48.78794,8.914525
48.78789,8.914646
48.78784,8.914661
48.78781,8.914642
48.78779,8.914588
48.7877,8.91452
48.78774,8.914453
48.7877,8.914385
48.78769,8.914316
48.78766,8.914249
48.78763,8.914182
48.7876,8.91412
48.78757,8.914056
48.78756,8.913989
48.78761,8.91392
48.78762,8.913817
48.78761,8.913765
48.78761,8.913713
48.78761,8.913665
48.78763,8.913622
48.78766,8.913591
48.78768,8.913572
48.7876, 8.91356
48.78771,8.913554
48.78771,8.913555
48.78771,8.913555
48.78771,8.913555
48.78771,8.913555
48.78772,8.913555
48.78773,8.91358
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593
48.78773,8.913593

